"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
608,"مأرˇ مرد","بعضي-تأ زأکان مأرˇ مرد دأريدي","ناپدرى","بعضى از بچه‌ها ناپدرى دارند","Stepfather","Some kids have a stepfather"
609,"مأنستن","خۊ پئرˇ مأنستن گب زنه","مانند","مانند پدرش صحبت مى‌کند","Like","He/She speaks like his father"
610,"مئخ","بچمسته مئخانأ فيشان","میخ","میخ‌های خم‌شده را دور بریز","Nail","Throw away crooked nails"
611,"مئوه","مئوهٰنأ بۊشؤستي؟","میوه","میوه‌ها را شستی؟","Fruit","Did you wash the fruits?"
612,"ما","ايتأ ما بدن","بوسه","یک بوسه بده","Kiss","Give me a kiss"
613,"ما","أ ما وا بشم مۊسافرت","ماه","این ماه باید به مسافرت بروم","Month","I should go on a trip this month"
614,"مائي","أکبر دۊتا سيفيد مائي بيهه-بۊ","ماهی","اکبر دو عدد ماهی سفید خریده بود","Fish","Akbar had bought two Caspian white fish"
615,"مات","چي ره ماتأ زئي؟","حیران","برای چه حیران شدی؟","Astonished","Why are you astonished?"
616,"ماتؤر","مي ماتؤر رؤشنأ نيبه","موتور","موتورم روشن نمی‌شود","Motorcycle","My motorcycle doesn't start"
617,"ماده","مي ماده مرأ در کۊنه","معده","معده‌ام درد می‌کند","Stomach","My stomach hurts"
618,"ماز","اۊ مازأ مرأ وأسينم مي کفشأ","واکس","آن واکس را بده به کفش‌ام بمالم","Wax","Give me that wax to applying it to my shoes"
619,"ماسکأ","ماسکأ بازي-يأ تۊمانأ کۊن","مسخره","مسخره‌بازى را تمام کن","Ridiculous","Stop being Ridiculous"
620,"ماشل","مي مأرˇ مرأ شؤن دريم مي ماشلˇ خانه","خاله","با مادرم به خانه خاله‌ام مى‌رویم","Aunt (Mother's sister)","I'm going to my aunt's house with my mother"
621,"ماشه","اۊ ماشه-يأ مرأ فأدن","انبر فلزی","آن انبر فلزی را به من بده","Metal Pincers","Give me that metal pincers"
622,"ماشک","ماشکأ تأود","تور ماهی‌گیری","تور ماهی‌گیری را بیانداز","Fishing Net","Throw the fishing net"
623,"ماقؤل","ماقؤل بۊگؤفتم","چه خوب","چه خوب شد گفتم","It's Good That","It's good that I said that"
624,"مالا","مي پئر مالايه","ماهى‌گیر","پدرم ماهى‌گیر است","Fisherman","My father is a fisherman"
625,"ماندگي","بدأ ايپچه ماندگي بيگيرم","خستگى","اجازه بده کمى خستگى در کنم","Getting Rest","Let me get some rest"
626,"ماچي","ايتأ ماچي مرأ ديهي؟","بوسه","یک بوسه به من مى‌دهى؟","Kiss","Would you give me a kiss?"
627,"مترس","باقلا باغ ٚ مترسه","مترسک","مترسک باغ باقلا است","Scarecrow","He's the scarecrow of the bean garden"
628,"مته","مته نهأن نوأ","مزاحمت","مزاحمت ایجاد نکن","Nuisance","do not make a nuisance"
629,"مجاز","مي مجاز نبره","مزاج","با مزاج من سازگار نیست","Taste","It's not my taste"
630,"مدار","هأ مدار بۊشۊ جۊلؤ","روش","به همین روش جلو برو","Method","Go forward with this method"
631,"مرأ","مرأ بۊگۊ چي خأئي؟","به من","به من بگو چه مى‌خواهى؟","Me","Tell me what you want?"
632,"مراغ","آدمأ مراغأ گيره","چندش","آدم چندش‌اش مى‌شود","Creep","Adam is a problem"
633,"مرجانه","أ کارتانأ مرجانه فگيفتم","رایگان","این کارت‌ها را رایگان گرفتم","Free","I got these cards for free"
634,"مرد ٚ خاخۊرزا","مي مرد ٚ خاخۊرزا أمي خانه ايسأ","خواهرزاده شوهر","خواهرزاده شوهرم خانه ما است","Husband's Nephew/Niece","My husband's niece is in our house"
635,"مردˇ برار","مي مردˇ برارˇ خانه هأ کۊچه دۊرۊنه","برادر شوهر","خانه برادر شوهرم داخل همین کوچه است","Husband's Brother","My husband's brother's house is in this alley"
636,"مردˇ برار زن","تي مردˇ برار زنأ بيدئم","زن برادر شوهر","زن برادر شوهرت را دیدم","Sister in Law (Husband's Brother's Wife)","I saw your sister in law"
637,"مردˇ خاخۊر","مي مردˇ خاخۊر بۊشؤ خارج","خواهر شوهر","خواهر شوهرم به خارج رفته است","Sister in Law (Husband's Sister)","My sister in law went abroad"
638,"مردأى","أ مردأى ديرۊز بامؤ","مرد","این مرد دیروز آمد","Man","This man came yesterday"
639,"مردۊم","مردۊم همه بامؤبيد","مردم","همه مردم آمده بودند","People","All people had come"
640,"مرگٚنا","مرگٚنا بزن","کپه مرگ","کپه مرگ‌ات را بگذار","Putting Head Down","Put your head down"
641,"مضرت","أنقد کي مضرتي تي جان همه جيجايه","شرور","آن‌قدر که شرور هستى تمام بدن‌ات زخمى است","Mischievous","You're so mischievous that all of your body is wounded"
642,"من","من بۊشؤم","من","من رفتم","I","I went"
643,"مه ره","أ کفشأ مه ره بيهئم","براى خودم","این کفش را براى خودم خریدم","For Myself","I bought these shoes for myself"
644,"مي","مي مأر أمؤن دره","من","مادرم دارد مى‌آید","My","My mother is comeing"
645,"ميان","أ گب أمي ميان بمانه","بین","این حرف بین خودمان باشد","Between","Keep these words between us"
646,"مچد","مچد شؤن دري؟","مسجد","به مسجد مى‌روى؟","Mosque","Are you going to the mosque?"
647,"مچه","أمين خۊ مچهٰ عمل بۊکۊده","چانه","امین چانه‌اش را عمل کرده است","Chin","Amin got a chin surgery"
648,"مک","مي سرأ مکأ کۊده","شوره سر","سرم شوره زده است","Dandruff","I got dandruff"
649,"مۊران","آهين مۊران بزه","زنگ آهن","آهن زنگ زده است","Rust","The iron is rusty"
650,"مۊرجه","ايپچه مۊرجه دۊکۊن","عدس","کمی عدس بریز","Lentil","Add some lentil"
651,"مۊرجه","ايپچه مۊرجه دۊکۊن","عدس","کمی عدس بریز","Lentil","Add some lentil"
652,"مۊرغانه","دۊتا مۊرغانه بأور مۊرغانه دشکن بۊخۊريم","تخم‌مرغ","دو عدد تخم‌مرغ بیاور نیمرو بخوریم","Egg","Bring two eggs to eat fried eggs"
653,"مۊس","مۊس بۊکۊده","کپک","کپک زده است","Mold","It got moldy"
654,"مۊسافرت","أئي بيشيم مۊسافرت؟","مسافرت","می‌آیی به مسافرت برویم؟","Trip","Do you wanna go on a trip together?"
655,"نأرم","تي شۊمارهˈ نأرم","ندارم","شماره‌ات را ندارم","I Do Not Have","I do not have your number"
656,"نأنسته-بؤ","نأنسته-بؤ أ کارأ بۊکۊده","ناآگاهانه","ناآگاهانه این کار را کرد","Unknowingly","He/She did this unknowingly"
657,"نؤبدان","اينفرأ بأور نؤبدانأ چأکۊنه","ناودان","یک‌نفر را بیاور ناودان را درست کند","Gutters","Bring someone to fix the gutters"
658,"نؤرۊزبل","جلالي تقویم ٚ مئن ۱۷ مۊرداد نؤرۊزبله","نوروزبل","در تقویم جلالی ۱۷ مرداد نوروزبل است","Nowruzbal","In Jalali calendar Mordad 17 is Nowruzbal"
659,"نابراري","أن مي نابراري-يه","نابرادری","این نابرادری من است","Step Brother","This is my step brother"
660,"ناجه","ناجه دأرم ايمرۊ بازي-يأ سر بيبيم","امید","امیدوارم امروز در بازی پیروز شویم","Hope","I hope to win the game today"
661,"ناحق ؤ نابۊد","ناحق ؤ نابۊد کرأ زٚجٚر کشیم","به ناحق","به ناحق داریم زجر می‌کشیم","Unjustly","We are suffering unjustly"
662,"ناخبر","رضا ناخبر بامؤ أمي خانه","سرزده","رضا سرزده به خانه ما آمد","Intrude","Reza intrude to our house"
663,"ناخۊش آوال","ايمرۊ ايپچه ناخۊش آوالم","مریض","امروز کمی مریض هستم","Sick","I'm a little bit sick today"
664,"ناخۊن","مي پا ناخۊن بشکفته","ناخن","ناخن پایم شکست","Nail","My toe nail broke"
665,"ناخۊن","تي ناخۊنأ بيگير","ناخن","ناخون‌ات را بگیر","Nail","Clip your nail"
666,"ناره","ناره کۊدن دره","نعره","دارد نعره می‌زند","Nazy","It is silent"
667,"نازبداشته","أمي زأکأن نازبداشته-ئيد","نازپرورده","بچه‌های ما نازپرورده هستند","Spoiled","Our kids are spoiled"
668,"ناسۊس","بۊشۊ ناسۊسأ بأور","تلمبه","برو تلمبه را بیاور","Air Pump","Go bring the air pump"
669,"ناقلن","ناقلن تۊ أمي مرأ بيأ","لااقل","لااقل تو با ما بیا","At Least","At least you come with us"
670,"ناکس","ناکسˇ پۊشتين بؤستن نوأ","نامرد","از نامرد حمایت نکن","Coward","Do not support the coward"
671,"نتاج","أمان گيلک ٚ نتاجيم","نسل","ما از نسل گیلک هستیم","Generation","We are gilak generation"
672,"نجاق","نخأستي بأيه نجاقˇ مرأ أنأ بأوردم","اجبار","نمى‌خواست بیاید به اجبار او را آوردم","Force","HE/She didn't want to come we forced him/her"
673,"ندار","ندارˇ آدمه","فقیر","آدم فقیرى است","Broke","He/She is broke"
674,"نشأ","جاده-يأ آب بيگيفته شؤن نشأ","نمى‌توان","آب جاده را فراگرفته است نمى‌توان رفت","Can't","The water closed the road we can't go"
675,"نقل","ايتأ نقل بۊگۊ","داستان","یک داستان بگو","Story","Tell a story"
676,"نم","أمي وسيلهˈنأ نم بزه","رطوبت","وسایل ما را رطوبت زده است","Moist","Our stuff got moisten"
677,"ننأ","فاکتؤران ميزˇ سر ننأ","نیست","فاکتورها روى میز نیست","Is Not","Invoices are not on the table"
678,"نهأن","پلايأ نهأن درم گازˇ سر","گذاشتن","دارم پلو را روى گاز مى‌گذارم","Put","I'm putting the rice on the stove"
679,"نوأ","اۊتؤ گب زئن نوأ","نکن","آن طور صحبت نکن","Don't","Don't talk like that"
680,"نيده بيده","نيده بيده-کانأ مأنه","ندید بدید","مانند ندید بدیدها است","Upstart","He/She looks like an upstart"
681,"نيشتاو","زأکي-يم نيشتاو بي","سرتق و لجوج","کودکى هم سرتق و لجوج بودى","Stubborn","You were stubborn in your childhood too"
682,"نيميزگيره","درأ نيميزگيره وأکۊن","اندکى","در را اندکى باز کن","Slightly","Open the door slightly"
683,"نيويره","مرأ سربسر نهأن نوأ نيويره بد ديني-يأ","وگرنه","من را اذیت نکن وگرنه بد مى‌بینى‌ها","Otherwise","Don't bother me otherwise you'll see badly"
684,"نيويشتن","کيتاب نيويشتن درم","نوشتن","دارم کتاب می‌نویسم","Write","I'm writing a book"
685,"نپج","أ نۊخۊدان نپجه","دیرپز","این نخودها دیرپز هستند","Take Too Long To Cook","These peas take too long to cook"
686,"هأتؤ","حؤکمن هأتؤيه کي شۊمان گيد","همین‌طور","به احتمال قوی همین‌طور است که شما می‌گویید","As Well","It's most likely as well as you say"
687,"هأنه","أمي دار ؤ ندار هأنه","همین است","دارایى ما همین است","This Is","This is all of our property"
688,"هأچين","هأچين پلا خۊردن دريم","خالی","داریم پلو خالی می‌خوریم","Plain","We're eating plain rice"
689,"هأچين پلا","هأچين پلا خۊردأن درم","پلو خالی","دارم پلو خالی می‌خورم","Plain Rice","We're eating plain rice"
690,"هأچينه","خانه أثاثانأ هأچينه فأدأ بۊشؤ","رایگان","وسایل خانه را به رایگان داد رفت","Free","He/She gave away the house furniture for free"
691,"هئن","چي هئن دري؟","خریدن","دارى چه مى‌خرى؟","Buying","What are you buying?"
692,"هر ساعت دقه","هر ساعت دقه أيه أمي خانه","دم به دقیقه","دم به دقیقه به خانه ما مى‌آید","Every Minute","He/She comes to our house every minute"
693,"هرتا","هرتا گۊشي-يان ايتأ خؤبي دأريدي","هر کدام","هر کدام از گوشى‌ها یک خوبى دارند","Each","Each mobile phone has its own features"
694,"هسأ","هسأ أيم","اکنون","اکنون مى‌آیم","Now","I'm coming now"
695,"هش","هش نفر بامؤئيد","هشت","هشت نفر آمدند","Eight","Eight people came"
696,"هف","هف نفر نامؤبيد","هفت","هفت نفر نیامده بودند","Seven","Seven people had not came"
697,"هف شب","فردأ مي جغله هف شبه","جشن شب هفت زایمان","فردا جشن شب هفت زایمان کودک من است","The Seventh Night's Party For Baby","Tomorrow is the seventh night's party for my baby"
698,"هلاچين","زاک ٚ ره صارا دۊرۊن هلاچين چأکۊدم","تاب","برای بچه در حیاط خانه تاب درست کردم","Swing","I made a swing for my child in the yard"
699,"هلماله","دئه هلماله اۊنˇ ورجا نشم","هرگز","دیگر هرگز پیش او نمى‌روم","Never","I will never go to him/her"
700,"هم زاما","مي هم زاما هرشب أمي خانه ايسأ","باجناق","باجناق من هرشب خانه ما است","Brother in Law (Wife's Sister's Husband)","My brother in law is at our house every night"
701,"همه-دأنه","فردأ همه-دأنه أئيدي","همه آن‌ها","فردا همه آن‌ها مى‌آیند","All Of Them","All of them will come tomorrow"
702,"هميشک","گيلان هميشک وارشي-يه","همواره","گیلان همواره بارانى است","Always","Gilan is always rainy"
703,"هندم هۊندم","هندم هۊندمه کي واران بأيه","نزدیک","نزدیک است که باران بیاید","Soon","it will rain soon"
704,"هني","هني وا بيشي","باز","باز باید بروی؟","Still","You still have to go"
705,"هيزار","هيزار ريال دئه پۊل ني-يه","هزار","هزار ریال دیگر پول نیست","Thousand","One thousand Rials is not that much money anymore"
706,"هيست","واران وارستي هيستأ بؤستم","خیس","باران مى‌بارید خیس شدم","Wet","It was raining and I got wet"
707,"هيل","ايپچه هيلم دۊکۊن","گشنیز","کمی گشنیز هم بریز","Coriander","Add some coriander too"
708,"وأبرازه","أ پرهن ترأ وابرازه","شایسته است","این پیراهن شایسته تو است","It Suits","This shirt suits you"
709,"وأجه","تي دۊماغأ اي چي وأجه","چسبیده است","چیزی روی بینی‌ات چسبیده است","Sticking","Something's sticking on your nose"
710,"وأده","أمرأ وأده بيگيفته","دعوت","ما را دعوت کرده است","Invite","He/She has invited us"
711,"وأسي","وأسي دۊ تا نان فگيفته-بيم","باید","باید دو عدد نان مى‌گرفتم","Should","I should have bought two breads"
712,"وأسي","ايمرۊ پۊر کار دأرم، هأنˇ وأسي زۊد بأمؤم","به خاطر","امروز کارم زیاد است، به خاطر همین زود آمدم","Because","There's a lot of work, I came early because of that"
713,"وأمجي","چي ره وأمجي؟","جستجو می‌کنی","برای چه جستجو می‌کنی؟","You Are Looking For","What are you looking for?"
714,"وأمرازه","أ گبان ترأ وأمرازه","شایسته نیست","این حرف‌ها شایسته تو نیست","It Doesn't Suit","These words doesn't suit you"
715,"وأورس","اۊ زناکأ وأورس","بپرس","از آن زن بپرس","Ask","Ask that woman"
716,"وأورسي","هرچي وأورسي ترأ گب بسرأ کۊنه","بپرسی","هر چه بپرسى حرف را عوض مى‌کند","You Ask","Whatever you ask he/she changes the subject"
717,"وأچئن","خۊ خانه سرأ وأچئن دره","کندن","دارد سقف خانه‌اش را برمی‌کند","Destroying","He/She is destroying the roof of his/her house"
718,"وأچۊک","دارأ وأچۊک","بچسب و بالا برو","به درخت بچسب و بالا برو","Climb","Climb the tree"
719,"وأکفتم","دئه وأکفتم","از پا افتادم","دیگر از پا افتادم","I'm Being Exhusted","I'm Exhusted"
720,"وأکفته","أمرأ وأکفته","پیله کرد","به ما پیله کرد","Pester","He/She pestered us"
721,"وأکۊده","مأمدأ وأکۊده بامؤ","رساند","محمد را (به مقصد) رساند و آمد","Drop","He/She Dropped Mohammad off and he/she came back"
722,"وأکۊن","درأ وأکۊن","باز کن","در را باز کن","Open","Open the door"
723,"وأگردان","أ کيتابأ تۊ وأگردان بۊکۊدي؟","ترجمه","این کتاب را تو ترجمه کردى؟","Translate","Did you translate this book?"
724,"وأگردان","اۊ شامي-یأ وأگردان","پشت و رو کن","آن شامی را پشت و رو کن","Flip","Flip that cutlet"
725,"وأگردانئده","أ خيابانˇ ايسمأ وأگردانئده","تغییر داده‌اند","نام این خیابان را تغییر داده‌اند","They Have Changed","They have changed the name of this street"
726,"وأگردانئم","کيتابأ وأگردانئم","عودت دادم","کتاب را عودت دادم","I Returned","I returned the book"
727,"وأگيران","گازأ وأگيران","روشن کن","اجاق را روشن کن","Turn Something On","Turn the Stove on"
728,"وئر","تأني أ رۊخانأ وئر بزني؟","گذشتن از عرض رودخانه","مى‌توانى از عرض این رودخانه عبور کنى؟","Crossing The River","Can you cross the width of this river?"
729,"وا","أيتأ اۊيتأ نأره همه وا بأئيد","باید","این و آن ندارد، همه باید بیایند","Must","There's no this and that, everyone must come"
730,"وا","سردˇ وا دمه","باد","باد سرد مى‌وزد","Wind","Cold wind is blowing"
731,"وا","هرچي خۊرم هنده مرأ وا","میل داشتن","هرچه مى‌خورم باز هم میل دارم","Craving","Whatever i eat I'm still craving"
732,"وابؤن","در وابؤ","باز شدن","در باز شد","Opened","The door opened"
733,"واترکانم","ترأ بيدينم واترکانم","جر می‌دهم","تو را ببینم جر می‌دهم","I Rip Apart","If I see you I'm gonna rip you apart"
734,"واترکستم","خأنده جأ واترکستم","ترکیدم","از خنده ترکیدم","I Burst Out","I burst out laughing"
735,"واتين","گيدي کؤرؤنا واتين دأره","مسرى","مى‌گویند کرونا مسرى است","Communicable","They say Corona is communicable"
736,"واجؤر","أ بج واجؤر کۊنه","رى","این برنج رى مى‌کند","Fluffy","This rice is fluffy"
737,"واجام","زرد ٚ واجامأ مأنه","بادنجان","مانند بادنجان زرد است","Eggplant","It looks like a yellow eggplant"
738,"واجاوره","أمرأ خۊره واجاوره","قى می‌کند","ما را مى‌خورد دوباره قى مى‌کند","He/She Vomits","He/She eats us and vomits agine"
739,"واخان","أنأ واخان","دوباره بخوان","این را دوباره بخوان","Re-Read","Re-read this"
740,"واخب","أمان ديرۊ واخبأ بؤستيم","آگاه","ما دیروز آگاه شدیم","Informed","We got informed yesterday"
741,"واخۊر","آب واخۊر","بنوش","آب بنوش","Drink","Drink water"
742,"واد","فچم تي وادأ بيگيرم","اندازه","خم شو اندازه‌ات را بگیرم","Measure","Bend and let me measure you"
743,"واداشته","أمرأ واداشته أ سردˇ هوا دۊرۊن بئسيم","وادار کرد","ما را وادار کرد در این  هواى سرد بمانیم","Forced","He/She forced us to stay in this cold weather"
744,"وارؤختن","گيلانأ وارؤختن درد","غارت کردن","دارند گیلان را غارت می‌کنند","Plunder","They are plundering Gilan"
745,"واران","ديرۊ واران بامؤ","باران","دیروز باران آمد","Rain","It rained yesterday"
746,"وارستن","واران وارستن دره","باریدن","دارد باران مى‌بارد","Raining","It is raining"
747,"وارسي","ايپچه اۊشنتر همهٰ وارسي کۊديد","بازرسی","کمى آن طرف‌تر همه را بازرسی می‌کردند","Inspection","A little further they were inspecting everyone"
748,"وارسي","وا أول وارسي بۊکۊنيد","تحقیق","باید ابتدا تحقیق کنید","Research","We should research first"
749,"واز","چيچيني-يانأ فأندر چۊتؤ واز کۊنیدي","پرواز","گنجشک‌ها را نگاه کن چگونه پرواز می‌کنند","Flying","Look the sparrows how they are flying"
750,"واز ؤ ولنگ","زاکان پارکˇ دۊرۊن چي واز ؤ ولنگي کۊنيدي","جست و خیز","بچه‌ها در پارک چه جست و خیزى مى‌کنند","Capering","Children capering in the park"
751,"وازده","مرأ وازده بأورده","به تنگ آمدن","من را به تنگ آورده است","Hassle","He/She hassling me"
752,"وازن","تي کفشأ وازن بيشيم","بپوش","کفش‌ات را بپوش برویم","Wear","Wear your shoes let's go"
753,"واسئن","اۊن چیسه ترأ وأسئن دري؟","مالیدن","آن چیست داری به خودت می‌مالی؟","Rub","What are you rubbing to yourself?"
754,"واسرأ دأن","أمرأ واسرأ دأ","پى نخود سیاه فرستادن","ما را پى نخود سیاه فرستاد","Send Someone on a Fool's Errand","He/She Sent us on a fool's errand"
755,"واسۊجانه","أمي خۊنا واسۊجانه تا خۊ مدرکأ فأگيفت","تا نهایت سوزاند","خون ما را تا نهایت سوزاند تا مدرک‌اش را گرفت","He/She Burned Up","He/She burned all of our blood up until he/she graduated"
756,"واسۊخسته","ترأ واسۊخسته آدم هفتاد سال پاکي نأره","برخورد کرده","آدم به تو برخورد کند تا هفتاد سال پاک نیست","Ran Into","Someone who ran into you won't be cleansed for seventy years"
757,"واش","گابˇ ره خاش فۊکۊنه سکˇ ره واش","علف","براى گاو استخوان مى‌ریزد براى سگ علف","Grass","He/She throws bone for the cow and grass for the dog"
758,"واشان","بۊشۊ جايأ واشان","پهن کن","برو رختخواب را پهن کن","Spread","Go and spread the bed sheets"
759,"واشکاف","أ پرهن ٚ درزأ واشکاف","بازکن","درز این پیراهن را باز کن","Open","Open the seam of this shirt"
760,"واشکاف","مرأ حالي نؤبؤسته، ايپچه واشکاف","بیشتر توضیح بده","متوجه نشدم، کمى بیشتر توضیح بده","Explain More","I didn't understand, explain a little bit more"
761,"واشکافيدي","باهارˇ وخت گۊلان واشکافيدي","می‌شکفند","فصل بهار گل‌ها مى‌شکفند","Bloom","In the spring the flowers bloom"
762,"والان","تي پرهنأ اۊيأ والان","آویزان کن","پیراهن‌ات را آن جا آویزان کن","Hang","Hang your shirt over there"
763,"والنگ","نيصفˇ را والنگأ دأ","انصراف","نیمه راه انصراف داد","Quit","He/She quit halfway through"
764,"واليشتن","گاب خۊ ماندهٰ واليشتن دره","لیسیدن","گاو دارد گوساله‌اش را مى‌لیسد","Licking","Cow is licking its calf"
765,"وامختن","چي-يأ وأمختن دري؟","جستجو","چه چیزی را جستجو می‌کنی؟","Search","What are you searching for?"
766,"وامختن دري","چي-يأ وأمختن دري؟","جستجو می‌کنی","چه چیزی را جستجو می‌کنی؟","You Searching","What are you searching for?"
767,"واهيل","مي ديل واهيلأ بؤسته","بى تاب","دلم بى تاب شده است","Impatient","My heart has been impatient"
768,"واويجان","مائي-يأ خؤب واويجان","برشته کن","ماهى را خوب برشته کن","Grill","Grill the fish properly"
769,"واوين","أ خالأ واوين","ببر","این شاخه را ببر","Cut","Cut this branch"
770,"واپس","چي ره واپس شؤن دري؟","عقب","براى چه دارى به عقب مى‌روى؟","Backward","Why are you going backward?"
771,"واپلکه","تيانأ بنه بدأ ايپچه واپلکه","خیس بخورد","دیگ را بگذار کمى خیس بخورد","Soaked","Leave the stock pot to get soaked"
772,"واچرد","تا نانأ بيده نيصفأ وأچرد","تکه‌ای از چیزی را کندن","به محض دیدن نان نیمى از آن را کند","Cut Something Into Pieces","As soon as he/she saw the bread he/she cut it into half"
773,"واکاريد","بعضي-يان خأئيد أمي ميانأ واکاريد","شکرآب کنند","بعضی‌ها می‌خواهند بین ما را شکرآب کنند","To Make Quarrel Between Two People","Some people want to make a quarrel between us"
774,"واکاشته","أمرأ أيأ واکاشته","به انتظار گذاشت","ما را این‌جا به انتظار گذاشت","Made Us Wait","He/She made us wait here"
775,"واکاشته","أمرأ أيأ واکاشته","منتظر گذاشت","ما را این‌جا منتظر گذاشت","Made Us Wait","He/She made us wait here"
776,"واگير","أن ٚ مأر أنˇ گبأ واگير کۊنه","تصدیق حرف","مادرش حرف او را تصدیق می‌کند","Confirming Someone's Words","His/Her mother Confirms his/her Words"
777,"وخت","باهارˇ وخت أيم گيلان","فصل","فصل بهار به گیلان مى‌آیم","Season","I'll come to Gilan in the spring season"
778,"ودره","اۊ ودرهˈ فأدن مرأ","سطل","آن سطل را به من بده","Bucket","Give me that bucket"
779,"ورأچۊک","بامؤ أمي ورأچۊک بينيشته","در کنار","آمد در کنار ما نشست","Next To","He/She came and sat next to us"
780,"ورجا","کيتابان أمدˇ ورجا نهأ","نزد","کتاب‌ها نزد احمد است","With","The books are with Ahmad"
781,"ورف","أجۊر ورف کي تا هسأ بيده بۊ؟","برف","این‌گونه برف چه کسى تا حالا دیده بود؟","Snow","Who had seen such snow?"
782,"ورگ","ايتأ سيا ورگ بيدئم","گرگ","یک گرگ سیاه دیدم","Wolf","I saw a black wolf"
783,"وسته","هأنقد مرأ وسته","کافى است","همین قدر براى من کافى است","Is Enough","This much is enough for me"
784,"ول","آتشˇ ولأ فأندر","شعله آتش","شعله آتش را نگاه کن","Fire Flame","Look the fire flame"
785,"ولکي","ايپچه بئسيد ولکي أميرم بأيه","شاید","کمى صبر کنید شاید امیر هم بیاید","Maybe","Wait a little maybe Amir comes too"
786,"ولگ","مي اينستا ولگأ دأري؟","صفحه","صفحه اینستاگرام من را دارى؟","Page","Do you have my Instagram page?"
787,"ولگ","پئيز ولگان چي خؤشگيلأ بيد","برگ","در پاییز برگ‌ها چه زیبا می‌شوند","Leaf","In the autumn leaves become so beautiful"
788,"وهاشته","مي پئر مرأ وهاشته بأيم","اجازه داد","پدرم به من اجازه داد بیایم","Allowed","My father allowed me to come"
789,"ويريزانه","أمرأ أمي جا سر ويريزانه","بلند کرد","ما را از جایمان بلند کرد","Made Someone Get Up","He/She made me get up from my seat"
790,"ويريزانه","خابˇ جا أمرأ ويريزانه","بیدار کرد","ما را از خواب بیدار کرد","Woke Someone Up","He/She woke us up"
791,"ويريشتد","گيلکان هأتؤئيد، مشرۊطه زماتم هأ ايوار ويريشتد","قیام کردند","گیلک‌ها همین‌گونه هستند، در زمان مشروطه هم به‌یک‌باره قیام کردند","They Stood Up","Gilaks are Like this, they suddenly stood up in the constitutional period too"
792,"ويريشته","اۊن کيسه ويريشته؟","بلند شد","آن کیست که بلند شد؟","stand up","Who is the one standing up?"
793,"ويريشته","بۊشۊ بيدين زأى ويريشته؟","بیدار شد","برو ببین بچه بیدار شد؟","Awake","Go and see if the baby is awake?"
794,"ويشتا","مرأ ويشتايه","گرسنه","گرسنه هستم","Hungry","I'm hungry"
795,"ويشتر","ويشتر آب دۊکۊن","بیشتر","بیشتر آب بریز","More","Pour more water"
796,"ويني زئک","تي دۊماغ ويني زئکأ پأکۊن","آب بینی","آب بینی‌ات را پاک کن","Snot","Wipe away the snot of your nose"
797,"ويگير","گۊشي-يأ ويگير","بردار","گوشى را بردار","Pick Up","Pick up the phone"
798,"وٚلٚش","بيأ بيشيم وٚلٚش چيني","تمشک","بیا برویم تمشک بچینیم","Raspberry","Let's go pick raspberry"
799,"يأ","أنأ خأئي يأ اۊنأ؟","یا","این را مى‌خواهى یا آن را؟","Or","Do you want this one or that one?"
800,"ياره","خاليشواشأ فأدن مي مأر ته ره ياره","می‌ساید","پونه را به مادرم بده براى تو مى‌ساید","He/She Muddle","Give the oregano to my mother and she will muddle it for you"
801,"ياور","تأنيد مرأ ياور بديد؟","کمک","مى‌توانید به من کمک کنید؟","Help","Can you help me?"
802,"پئر","مي پئر بۊشؤ کارˇ سر","پدر","پدرم سر کار رفت","Father","My father went to work"
803,"پئر ؤ مأر","مي پئر ؤ مأر بخانه نئسائيد","پدر و مادر","پدر و مادرم خانه نیستند","Parents","My parents aren't home"
804,"پئرˇ زن","همه-تا پئرˇ زنان کي بد ني-ئيد","نامادرى","تمام نامادرى‌ها که بد نیستند","Step Mother","Not all step mothers are bad"
805,"پئله","چائي-يأ دۊکۊن پئله دۊرۊن","نعلبکی","چای را درون نعلبکی بریز","Saucer","Pour the tea inside the saucer"
806,"پئنج","پئنج تا نان خأيم","پنج","پنج عدد نان مى‌خواهم","Five","I want five breads"
807,"پئنجا","زري-يم خۊ پئنجا ريالأ فأدأ","پنجاه","زری هم پنجاه ریال‌اش را داد","Fifty","Zary also paid her own fifty Rials"
808,"پا بسر","زاکأ پا بسر کۊدن نوأ","از روى چیزى گذشتن","از روى بچه عبور نکن","To Pass Over Something","Don't pass over the baby"
809,"پا تۊک","تي پا تۊکˇ سر بئس خانه دۊرۊنأ فأندر","نوک پا","روى نوک پایت بایست داخل خانه را نگاه کن","Toe","Stand on the tip of your toes and look inside the house"
810,"پابرانده","پابرانده صارا شؤن نوأ","پابرهنه","پابرهنه به حیاط نرو","Barefoot","Don't go in the yard barefoot"
811,"پاخت","دگرأ بۊخۊردم پاختا بؤستم زيمينˇ سر","پهن","تلوتلو خوردم روی زمین پهن شدم","Fell","I wambled and fell on the ground"
812,"پاستن","کۊجي زاکانأ وا پاستن","محافظت کردن","از بچه‌هاى کوچک باید محافظت کرد","Protect","Small children should be protected"
813,"پاماله","أن لۊاسˇ پاماله-يه","رد پا","این رد پاى روباه است","Footprint","This is a fox footprint"
