"id","glk_word","glk_example","en_word","en_example"
912,"کؤيدانه","کؤيدانه-يأ گي؟","Which One","Which one do you say?"
913,"کئخۊدامردي","تي کئخۊدامردي ته ره بدر خۊره","Judgment","Your judgement have only use for yourself"
914,"کئن کئن","کئن کئن دأشتي أکه أئي","Linger","He/She was lingering to see when will you come"
915,"کئواني","مي کۊجي کؤر خؤره ايتأ کئواني-يه","Lady/Housewife","My little daughter is such a lady for herself"
916,"کاباسي","کاباسي بأورديم","Cursed","We've been cursed"
917,"کاس","تي کاس ٚ چۊمأ خۊش دأرم","Blue Eye","I love your blue eyes"
918,"کاسه","ايتأ کاسه پلا مه ره دۊکۊن","Plate","Serve me a plate of rice"
919,"کال","أ به کاله","Unripe","This quince is unripe"
920,"کاکا","ايپچه کاکا چأکۊن بۊخۊريم","A Kind of Pancake","Make some pancakes to eat"
921,"کخ","أ شامپؤ کخ نۊکۊنه","Foam","This shampoo doesn't foam"
922,"کرأ","کرأ شم","Be Going","I'm going"
923,"کردˇکار","تي کردˇ کارأ چأکۊن","Behavior","Change your behavior"
924,"کرچ","پۊر کرچه","Crispy","It's very crispy"
925,"کرک","کرکان کتکتاس کۊنيدي","Hen","Hens go cluck cluck"
926,"کش","اۊن کيسه اۊ کش نيشته؟","Corner","Who is that sitting in the corner?"
927,"کشه","بيأ مي کشه","Embrace","Come to my embrace"
928,"کشک","دۊمرتبه کشکأ بؤستي؟","Spoiled","Are you being spoiled again?"
929,"کفته","تي ميداد زيمينˇ سر کفته","Has Fallen","Your pencil has fallen on the ground"
930,"کل","أ مردأی کله","Bald","This man is bald"
931,"کلانه","بۊشۊ اۊ کلانهٰ بأور","Brazier","Go bring that brazier"
932,"کلاچ","کلاچ پینیرأ اۊساد","Crow","The crow took the cheese"
933,"کلاچ ملاچي","أميرحۊسئن ايتأ کلاچ ملاچي پرهن دۊکۊده بۊ","Black And White","Amir Hossein was wearing a black and white shirt"
934,"کلماجين","أ سئب کلماجينه","Wormy","This apple is wormy"
935,"کله","بۊشۊ کلهٰ وأگيران","Stove","Go turn the stove on"
936,"کي","کي تأنه مي مرأ بأيه؟","Who","Who can come with me?"
937,"کي","من کي بامؤم","That","I came"
938,"کيتاب","أ کيتاب مي شينه","Book","This book is mine"
939,"کيس","مي رختان کيس بۊخۊرده","Wrinkled","My clothes are wrinkled"
940,"کيشؤ","میداد کيشؤ دۊرۊن ننأبۊ","Drawer","The pencil wasn't in the drawer"
941,"کيشکا","کيشکائانأ فۊران","Chicken","Take the chickens away"
942,"کٚتٚل","بۊشۊ ايتأ کٚتٚل مه ره بأور بينيشينم","Small Stool","Go bring me a small stool to sit on"
943,"کٚوار","أمأن کٚوار ٚ أمرأ غذا چأکۊنیم","Chives","We make food with chives"
944,"کٚکٚج","سبزي-يان ٚ دۊرۊن کٚکٚج مرأ ويشتر خۊش أيه","Garden Cress","I love garden cress the most among the vegetables"
945,"کۊ","بیأ بيشيم کۊ","The Mountain","Let's go to the mountain"
946,"کۊجدانه","مي کۊجدانه برارأ بيدئي؟","Little","Have you seen my little brother?"
947,"کۊدن","چي کۊدن دري؟","Do","What are you doing?"
948,"کۊده","هوا سردأ کۊده","Has Become","The weather has become cold"
949,"کۊر ٚ قۊقۊ","کۊر ٚ قۊقۊيأ فأندر","Owl","Look at the owl"
950,"کۊرش","مي غذا همه کۊرشأ بؤ","Burnt","All of my food got burnt"
951,"کۊرش","مي غذا کۊرشأ بؤ","Burnt","My food got burnt"
952,"کۊشتن","پۊتارانأ کۊشتن نوأئيد","Kill","Do not kill the ants"
953,"کۊلک","کاموا کۊلکأ بؤسته","Tangled","The yarn has been tangled"
954,"کۊمۊش","کۊمۊشأ فأندر","Turtle","Look at the turtle"
955,"کۊناکۊنا","کۊچه دوسته بۊ کۊناکۊنا وأگردستيم","Backwards","The alley was closed we had to go backwards"
956,"کۊنه","أ دارأ کۊنه سخته","Root","The root of this tree is strong"
957,"کۊنه مۊنه","کۊنه مۊنه کۊدن نوأ","Doubt","Do not doubt"
958,"کۊنۊس","کۊنۊس خأیي؟","Common Medlar","Do you want common medlar?"
959,"کۊکلا","کۊکلا ديچئن دره","Plot (To Hurt)","He/She is plotting"
960,"گؤرخانه","ايمرۊ گؤرخانه وارش بۊ","Thunder","Today was raining with thunder"
961,"گؤزکا","گؤزکايأ بيده-ئي؟","Frog","Did you see the frog?"
962,"گئسه","خۊ مۊئانأ گئسه کۊنه","Braid (Hair)","He/She braids his/her hair"
963,"گاب","رجب خۊ گابأ فۊرؤختن دره","Cow","Rajab is selling his cow"
964,"گاره","جغلهٰ ببر گاره دۊرۊن بۊخۊسان","Cradle","Put the baby in the cradle to sleep"
965,"گاز","مي گاز مرأ در کۊنه","Tooth","My tooth hurts"
966,"گاز ايشکره","ديشب خۊفته-بي گاز ايشکره کۊدي","To Grate Teeth","You were grating your teeth together when you were sleeping last night"
967,"گاچ","تي پا گاچه مگه؟","Bow-Legged","Are you bow-legged?"
968,"گاگٚلٚف","گاگٚلٚف أرأ دٚوار کۊنم","Sometimes","Sometimes I pass through this way"
969,"گب","أ گب کي گؤفتن درم اۊرارسالانˇ شينه","Word","These words I'm telling you are from years ago"
970,"گب","مي أمرأ گب بزن","Speak","Speak to me"
971,"گب جکشه","بۊزۊر خأستي مي جا گب جکشه","He/She Make Someone To Talk","He/She wanted to make me talk forcefully"
972,"گب خبربر","گب خبربرˇ مرأ گب زئن نوأ","Gossiper","Don't talk to the gossiper"
973,"گب گبˇ سر","گب گبˇ سر بأورده","Interrupting The Subject With Another Subject","He/She interrupted the subject with another subject"
974,"گرا دن","گرا دن بأيه","Slip (Sometheng On The Ground Or Table)","Slip it to me"
975,"گراپئت","أيأ بيأ بينم يه گراپئت","Disfigured","Come here you disfigured guy"
976,"گرد ٚکله","أمي گردˇ کلهˈ لاف دکفته","Gathering","Our gathering got canceled"
977,"گردستن","هرأ گردستن ديبيم","Walk","We were walking around here"
978,"گردن پسه","مي گردن پسه-يأ جۊش بزه","Nape","There's pimple on my nape"
979,"گرديم","هرأ گرديم","We Walk","We are walking around here"
980,"گرزه","گرزه خۊراک آغۊزه","Mouse","The food of the mouse is walnuts"
981,"گرزک","گرزک مرأ بگشته","Bee","The bee stung me"
982,"گرمش","گرمش أمؤن دره","Warm Wind","Warm wind is blowing"
983,"گرگر","زاکانˇ گرگر ونأشته بۊخۊسم","Noise","the noise from the kids didn't let me sleep"
984,"گلاس","درجکأ گلاس بۊم","Staring","I was staring to the window"
985,"گه","خؤره گه","He/She Says","He/She says that from himself/herself"
986,"گيج گيجي","مرأ گيج گيجي دأن نوأ","Tickle","Don't tickle me"
987,"گيرينجي","گيرينجي مۊ مرأ خۊش أيه","Curly Hair","I like curly hair"
988,"گٚزٚر","گزر ٚ آب چۊم ٚ ره خؤبه","Carrot","Carrot juice is good for the eyes"
989,"گٚل","ميرزاکۊچي خان ايتأ پيله گٚل بۊ","Person","Mirza kuchak Khan was a great person"
990,"گٚلٚف","گٚلٚف بينيشينيد","With Distance","Sit with distance"
991,"گۊد","مي مردˇ گۊدان ديرۊ بامؤبيد أمي خانه","Family","Yesterday my husband's family came to our house"
992,"گۊده","خۊ رختانأ گۊده بۊکۊد","Squeezed","He/She squeezed his/her clothes"
993,"گۊزارش","ايمشب وا مي گۊزارشأ تۊمانأ کۊنم","Report","I have to finish my report tonight"
994,"گۊشˇ کۊن","مي گۊشˇ کۊن بۊگؤفته","Beside Someone's Ear","He/She whispered beside my ear"
995,"گۊل","أ گۊلأ ته ره بيهئم","Flower","I bought this flower for you"
996,"گۊلاز","أمي گۊلاز أنˇ کي گيلکيم","Honor","This is our honor that we are Gilak"
997,"گۊلدان","مي گۊلدان بشکفته","Flower Pot","My flower pot broke"
998,"گۊلي","مي گۊلي مرأ در کۊنه","Throat","My throat hurts"
999,"گۊمار","گۊمار ٚ پۊشت جۊخۊفت","Thorn Bushes","He/She hid behind the thorn bushes"
1000,"گۊمگۊمه","مي گۊشˇ کۊن گۊمگۊمه کۊدي","Whisper","He/She whispered beside my ear"
